3Y,"Bouvet Island",AF
4O,Montenegro,EU
4X,Israel,EU
5B,Cyprus,EU
8P,Barbados,SA
9A,Croatia,EU
9H,Malta,EU
9M6,"East Malaysia",AS
9V,Singapore,AS
A6,"United Arab Emirates",EU
BV,Taiwan,AS
CE3,"Chile - Metropolitan Region",SA
CT,Portugal,EU
CT3,Madeira,EU
CU,Azores,EU
CX,Uruguay,SA
DL,"Germany (Alpine)",EU
DM,"Germany (Low Mountains)",EU
DU2,"Philippines - North Luzon",OC
DU3,"Philippines - Central Luzon",OC
DU4,"Philippines - Bicol",OC
DUC,"Philippines - Calabarzon",OC
E5,"Cook Islands",OC
E7,"Bosnia and Herzegovina",EU
EA1,"Spain - North West",EU
EA2,"Spain - North",EU
EA3,"Spain - Catalunya",EU
EA4,"Spain - Central",EU
EA5,"Spain - South East",EU
EA6,"Spain - Balearic Islands",EU
EA7,"Spain - South",EU
EA8,"Spain - Canary Islands",EU
EA9,"Spain - Ceuta",EU
EI,Ireland,EU
ES,Estonia,EU
F,France,EU
FG,Guadeloupe,NA
FH,Mayotte,AF
FK,"New Caledonia",OC
FL,"France - Low",EU
FM,Martinique,NA
FP,"St. Pierre & Miquelon",NA
FR,"La Réunion",AF
G,England,EU
GD,"Isle Of Man",EU
GI,"Northern Ireland",EU
GJ,"Bailiwick of Jersey",EU
GM,Scotland,EU
GU,"Bailiwick of Guernsey",EU
GW,Wales,EU
HA,Hungary,EU
HB,Switzerland,EU
HB0,Liechtenstein,EU
HI,"Dominican Republic",SA
HL,"South Korea",AS
HR,Honduras,SA
I,Italy,EU
IA,"Isole Africane d`Italia",EU
IS0,Sardinia,EU
JA,"Japan - Honshu",AS
JA5,"Japan - Shikoku",AS
JA6,"Japan - Kyushu_Okinawa",AS
JA8,"Japan - Hokaido",AS
JW,Svalbard,EU
JX,"Jan Mayen",EU
K0M,"USA - Minnesota ",NA
KH0,"USA - Northern Mariana Islands",NA
KH2,"USA - Guam",OC
KH6,"USA - Hawaii",OC
KLA,"Alaska - Anchorage",NA
KLF,"Alaska - Fairbanks",NA
KLS,"Alaska - Southeast",NA
KP4,"USA - Puerto Rico",NA
LA,Norway,EU
LUD,"Argentina - Buenos Aires",SA
LUH,"Argentina - Córdoba",SA
LUM,"Argentina - Mendoza",SA
LUP,"Argentina - San Juan",SA
LUQ,"Argentina - San Luis",SA
LUY,"Argentina - Neuquén",SA
LX,Luxembourg,EU
LY,Lithuania,EU
LZ,Bulgaria,EU
OD,Lebanon,EU
OE,Austria,EU
OH,Finland,EU
OK,Czechia,EU
OM,Slovakia,EU
ON,Belgium,EU
OY,Faroes,EU
OZ,Denmark,EU
PA,Netherlands,EU
PP1,"Brazil - Espírito Santo",SA
PP2,"Brazil - Goiás",SA
PP5,""Santa Catarina",SA
PP6,"Brazil - Sergipe",SA
PP7,"Brazil - Alagoas",SA
PQ2,"Brazil - Tocantins",SA
PR8,"Brazil - Maranhão",SA
PS7,"Brazil - Rio Grande do Norte",SA
PS8,"Brazil - Piauí",SA
PT7,"Brazil - Ceará",SA
PT2,"Brazil - Federal District",SA
PY1,"Brazil - Rio de Janeiro",SA
PY2,"Brazil - Sao Paulo",SA
PY3,"Brazil - Rio Grande do Sol",SA
PY4,"Brazil - Minas Gerais",SA
PY5,"Brazil - Paraná",SA
PYF,"Brazil - Fernado de Noronha",SA
PYT,"Brazil - Trindade & Martim Vaz Is.",SA
R3,"Russia (European)",EU
R9U,"Russia - Urals",EU
S5,Slovenia,EU
S7,Seychelles,AF
SM,Sweden,EU
SP,Poland,EU
SV,Greece,EU
TF,Iceland,EU
TI,"Costa Rica",SA
TK,Corsica,EU
UT,Ukraine,EU
V5,Namibia,AF
VE1,"Canada - Nova Scotia",NA
VE2,"Canada - Quebec",NA
VE3,"Canada - Ontario",NA
VE4,"Canada - Manitoba",NA
VE5,"Canada - Saskatchewan",NA
VE6,"Canada - Alberta",NA
VE7,"Canada - British Columbia",NA
VE9,"Canada - New Brunswick",NA
VK1,"Australia - Capital Territory",OC
VK2,"Australia - NSW",OC
VK3,"Australia - Victoria",OC
VK4,"Australia - Queensland",OC
VK5,"Australia - South Australia",OC
VK6,"Australia - WA",OC
VK7,"Australia - Tasmania",OC
VK8,"Australia - Northern Territory",OC
VK9,"Australia - Islands",OC
VO1,"Canada - Newfoundland",NA
VP8,"Falkland Islands",SA
VY1,"Canada - Yukon",NA
VY2,"Canada - PEI",NA
W0C,"USA - Colorado",NA
W0D,"USA - Dakotas",NA
W0I,"USA - Iowa",NA
W0M,"USA - Missouri",NA
W0N,"USA - Nebraska",NA
W1,USA,NA
W2,USA,NA
W3,USA,NA
W4A,"USA - Alabama",NA
W4C,"USA - Carolinas",NA
W4G,"USA  - Georgia",NA
W4K,"USA - Kentucky",NA
W4T,"USA - Tennessee",NA
W4V,"USA - Virginia",NA
W5A,"USA - Arkansas",NA
W5M,"USA - Mississippi",NA
W5N,"USA - New Mexico",NA
W5O,"USA - Oklahoma",NA
W5T,"USA - Texas",NA
W6,USA,NA
W7A,"USA - Arizona",NA
W7I,"USA - Idaho",NA
W7M,"USA - Montana",NA
W7N,"USA - Nevada",NA
W7O,"USA - Oregon",NA
W7U,"USA - Utah",NA
W7W,"USA - Washington",NA
W7Y,"USA - Wyoming",NA
W8M,"USA - Michigan",NA
W8O,"USA - Ohio",NA
W8V,"USA - West Virginia",NA
W9,USA,NA
XE1,"Mexico - Central",NA
XE2,"Mexico - North",NA
XE3,"Mexico South",NA
XF4,Revillagigedo,NA
YBE,"Indonesia - Eastern Islands of Sumatera",AS
YBJ,"Indonesia - Java",AS
YL,Latvia,EU
YO,Romania,EU
YU,Serbia,EU
Z3,"North Macedonia",EU
ZB2,Gibraltar,EU
ZD,"UK South Atlantic",OC
ZL1,"New Zealand - North Island",OC
ZL3,"New Zealand - South Island",OC
ZL7,"Chatham Islands",OC
ZL8,"Kermadec Islands",OC
ZL9,"Sub-Antarctic Territories",OC
ZS,"South Africa",AF
ZS8,"Marion and Prince Edward Islands",AF
